,ts_code
354,000419.SZ
355,000420.SZ
356,002462.SZ
357,000001.SZ
358,000002.SZ
359,000003.SZ
360,000004.SZ
361,000543.SZ
362,000544.SZ
363,000545.SZ
364,000547.SZ
365,000635.SZ
366,000636.SZ
367,000637.SZ
368,000638.SZ
369,000639.SZ
370,000421.SZ
371,000422.SZ
372,000423.SZ
373,000425.SZ
374,000005.SZ
375,000006.SZ
376,000007.SZ
377,000008.SZ
378,000009.SZ
379,000548.SZ
380,000549.SZ
381,000551.SZ
382,000552.SZ
383,000553.SZ
384,000677.SZ
385,000678.SZ
386,000679.SZ
387,000680.SZ
388,000681.SZ
389,000428.SZ
390,000429.SZ
391,000430.SZ
392,000498.SZ
393,000426.SZ
394,000010.SZ
395,000011.SZ
396,000012.SZ
397,000013.SZ
398,000014.SZ
399,000015.SZ
400,000554.SZ
401,000555.SZ
402,000556.SZ
403,000557.SZ
404,000693.SZ
405,000695.SZ
406,001696.SZ
407,000697.SZ
408,000698.SZ
409,000501.SZ
410,000502.SZ
411,000503.SZ
412,000504.SZ
413,000016.SZ
414,000017.SZ
415,000018.SZ
416,000558.SZ
417,000559.SZ
418,000560.SZ
419,000562.SZ
420,000661.SZ
421,000662.SZ
422,000663.SZ
423,000665.SZ
424,000505.SZ
425,000506.SZ
426,000507.SZ
427,000508.SZ
428,000509.SZ
429,000510.SZ
430,000019.SZ
431,000021.SZ
432,001872.SZ
433,000023.SZ
434,000563.SZ
435,000564.SZ
436,000565.SZ
437,000566.SZ
438,000682.SZ
439,000683.SZ
440,000685.SZ
441,000686.SZ
442,000687.SZ
443,000511.SZ
444,000513.SZ
445,000514.SZ
446,000515.SZ
447,000517.SZ
448,000024.SZ
449,000026.SZ
450,000027.SZ
451,000028.SZ
452,000568.SZ
453,000569.SZ
454,000570.SZ
455,000571.SZ
456,000572.SZ
457,000650.SZ
458,000651.SZ
459,000652.SZ
460,000653.SZ
461,000518.SZ
462,000519.SZ
463,000521.SZ
464,000522.SZ
465,000029.SZ
466,000030.SZ
467,000031.SZ
468,000032.SZ
469,000033.SZ
470,000576.SZ
471,000578.SZ
472,000582.SZ
473,000573.SZ
474,000666.SZ
475,000667.SZ
476,000668.SZ
477,000669.SZ
478,000670.SZ
479,000523.SZ
480,000524.SZ
481,000525.SZ
482,000526.SZ
483,000034.SZ
484,000035.SZ
485,000036.SZ
486,000037.SZ
487,000584.SZ
488,000585.SZ
489,000586.SZ
490,000587.SZ
491,000583.SZ
492,000588.SZ
493,000689.SZ
494,000690.SZ
495,000691.SZ
496,000692.SZ
497,000688.SZ
498,000527.SZ
499,000528.SZ
500,000529.SZ
501,000038.SZ
502,000039.SZ
503,000040.SZ
504,000042.SZ
505,001914.SZ
506,000045.SZ
507,000589.SZ
508,000590.SZ
509,000591.SZ
510,000592.SZ
511,000657.SZ
512,000658.SZ
513,000659.SZ
514,000660.SZ
515,000656.SZ
516,002572.SZ
517,000046.SZ
518,000047.SZ
519,000048.SZ
520,000049.SZ
521,000050.SZ
522,000055.SZ
523,000594.SZ
524,000595.SZ
525,000596.SZ
526,000597.SZ
527,000598.SZ
528,000671.SZ
529,000672.SZ
530,000673.SZ
531,000675.SZ
532,000676.SZ
533,301418.SZ
534,000056.SZ
535,000058.SZ
536,000059.SZ
537,000600.SZ
538,000601.SZ
539,000602.SZ
540,000603.SZ
541,000605.SZ
542,000151.SZ
543,000153.SZ
544,000155.SZ
545,000156.SZ
546,000157.SZ
547,000061.SZ
548,000062.SZ
549,000063.SZ
550,000065.SZ
551,000606.SZ
552,000607.SZ
553,000608.SZ
554,000610.SZ
555,000158.SZ
556,000159.SZ
557,000301.SZ
558,300414.SZ
559,300681.SZ
560,000066.SZ
561,000068.SZ
562,000069.SZ
563,000070.SZ
564,000611.SZ
565,000612.SZ
566,000613.SZ
567,000615.SZ
568,000616.SZ
569,000400.SZ
570,000401.SZ
571,000402.SZ
572,000403.SZ
573,000404.SZ
574,000850.SZ
575,000851.SZ
576,000856.SZ
577,000858.SZ
578,301191.SZ
579,000898.SZ
580,000899.SZ
581,000901.SZ
582,000751.SZ
583,000752.SZ
584,000753.SZ
585,000755.SZ
586,000948.SZ
587,000949.SZ
588,000950.SZ
589,000951.SZ
590,300776.SZ
591,301045.SZ
592,000902.SZ
593,000903.SZ
594,000905.SZ
595,000757.SZ
596,000758.SZ
597,000759.SZ
598,000760.SZ
599,000952.SZ
600,000953.SZ
601,000955.SZ
602,000956.SZ
603,300830.SZ
604,001332.SZ
605,000908.SZ
606,000909.SZ
607,000910.SZ
608,000911.SZ
609,000761.SZ
610,000762.SZ
611,000763.SZ
612,001267.SZ
613,000767.SZ
614,000958.SZ
615,000959.SZ
616,000960.SZ
617,000961.SZ
618,000962.SZ
619,300671.SZ
620,000913.SZ
621,000915.SZ
622,000916.SZ
623,000917.SZ
624,000918.SZ
625,000768.SZ
626,000769.SZ
627,000776.SZ
628,000777.SZ
629,000963.SZ
630,000965.SZ
631,000966.SZ
632,000967.SZ
633,000919.SZ
634,000920.SZ
635,000922.SZ
636,000923.SZ
637,000778.SZ
638,000779.SZ
639,000780.SZ
640,000783.SZ
641,000969.SZ
642,000970.SZ
643,000971.SZ
644,000968.SZ
645,000972.SZ
646,300633.SZ
647,000925.SZ
648,000926.SZ
649,000927.SZ
650,000928.SZ
